group,variable,mean,se
No Medical Experiences,Science Identity,3.08,0.0601
No Medical Experiences,Career Motivation,4.076502732,0.054129113
No Medical Experiences,Science Interest,4.160291439,0.049039193
No Medical Experiences,Self-Determination,3.979052823,0.045302812
No Medical Experiences,Self-Efficacy,4.155737705,0.039659732
No Medical Experiences,Value of Peers,3.984517304,0.045692701
No Medical Experiences,Sense of Belonging,3.5813,0.0474
No Medical Experiences,Science Engagement,3.180327869,0.057338836
No Medical Experiences,Community in Science,4.493624772,0.032899668
Medical Experiences,Science Identity,3.351,0.0587
Medical Experiences,Career Motivation,4.108378871,0.053492202
Medical Experiences,Science Interest,4.29417122,0.045617441
Medical Experiences,Self-Determination,3.967213115,0.049285291
Medical Experiences,Self-Efficacy,4.104735883,0.043954552
Medical Experiences,Value of Peers,3.99726776,0.050720089
Medical Experiences,Sense of Belonging,3.7179,0.04948
Medical Experiences,Science Engagement,3.510018215,0.055076932
Medical Experiences,Community in Science,4.518214936,0.031781466
